molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL18501,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(CCc2c[nH]c3ccc(F)cc23)CC1,1.4,active
CHEMBL19226,O=S1(=O)c2ccccc2-c2ccccc2N1CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,35.0,active
CHEMBL162006,Fc1ccc(C(OCC2CCN(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,761.0,active
CHEMBL19203,O=S1(=O)c2cccc3cccc(c23)N1CCCCN1CC=C(c2c[nH]c3ccccc23)CC1,0.8,active
CHEMBL351215,c1ccc(CCN2CCC(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,102.0,active
CHEMBL166072,COc1ccc(C(OCCC2CCN(CCCc3ccccc3)CC2)c2ccc(OC)cc2)cc1,340.0,active
CHEMBL18224,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1,0.3,active
CHEMBL275354,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(Cc2c[nH]c3cccc(F)c23)CC1,6.0,active
CHEMBL338733,c1ccc(CN2CCC(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,743.0,active
CHEMBL276565,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(Br)cc23)CC1,10.0,active
CHEMBL9329,c1ccc(CCCN2CCC(COC(c3ccccc3)c3ccccc3)CC2)cc1,58.0,active
CHEMBL19347,O=c1n(CCN2CCC(Cc3c[nH]c4ccc(F)cc34)CC2)c2cccc3c2n1CCC3,0.4,active
CHEMBL18212,COc1ccc2[nH]cc(C3=CCN(CCCN4c5cccc6cccc(c56)S4(=O)=O)CC3)c2c1,10.0,active
CHEMBL19228,CN(CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1)S(=O)(=O)c1ccc2ccccc2c1,22.0,active
CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,82.0,active
CHEMBL355258,CO[C@H]1CC2C[C@H](OC(c3ccccc3)c3ccccc3)CC1N2C,100000.0,inactive
CHEMBL19335,CS(=O)(=O)N(CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1)c1cccc2ccccc12,100.0,active
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,15.0,active
CHEMBL350372,Brc1ccc(C(OCCC2CCN(CCCc3ccccc3)CC2)c2ccc(Br)cc2)cc1,835.0,active
CHEMBL414187,CN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,100.0,active
CHEMBL351595,c1ccc(CCCN2CCC(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,232.0,active
CHEMBL429768,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,1.4,active
CHEMBL276922,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCN(Cc2c[nH]c3ccc(F)cc23)CC1,5.0,active
CHEMBL353797,Clc1ccc(C(OCCC2CCN(CCCc3ccccc3)CC2)c2ccc(Cl)cc2)cc1,224.0,active
CHEMBL19652,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(O)cc23)CC1,25.0,active
CHEMBL274517,O=S1(=O)c2cccc3cccc(c23)N1CCN1CC=C(c2c[nH]c3ccccc23)CC1,0.6,active
CHEMBL18625,O=C1c2cccc3cccc(c23)N1CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,1.7,active
CHEMBL416544,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(CC2=CCc3ccccc32)CC1,5.0,active
CHEMBL415747,c1ccc(CN2CCC(COC(c3ccccc3)c3ccccc3)CC2)cc1,544.0,active
CHEMBL19111,Cn1cc(C2=CCN(CCCN3c4cccc5cccc(c45)S3(=O)=O)CC2)c2ccccc21,0.6,active
CHEMBL19270,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(Cc2cc3cc(F)ccc3[nH]2)CC1,4.0,active
CHEMBL422018,Clc1ccc(C(OCCC2CCN(CCc3ccccc3)CC2)c2ccc(Cl)cc2)cc1,414.0,active
CHEMBL350100,Fc1ccc(C(OCC2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,112.0,active
CHEMBL274728,O=S1(=O)N(CCN2CCC(Cc3c[nH]c4ccc(F)cc34)CC2)c2cccc3c2N1CCC3,1.2,active
CHEMBL19613,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccccc23)CC1,0.2,active
CHEMBL19051,O=S1(=O)c2cccc3cccc(c23)N1CCN1CC=C(Cc2c[nH]c3ccc(F)cc23)CC1,1.1,active
CHEMBL349281,Fc1ccc(C(OCC2CCN(CCc3ccccc3)CC2)c2ccc(F)cc2)cc1,237.0,active
CHEMBL279414,CC(=O)n1cc(C2=CCN(CCCN3c4cccc5cccc(c45)S3(=O)=O)CC2)c2ccccc21,10.0,active
CHEMBL352272,Fc1ccc(C(OCCC2CCN(CCc3ccccc3)CC2)c2ccc(F)cc2)cc1,31.9,active
CHEMBL166122,c1ccc(CCN2CCC(COC(c3ccccc3)c3ccccc3)CC2)cc1,456.0,active
