,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL18501,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(CCc2c[nH]c3ccc(F)cc23)CC1,active,477.6050000000003,5.313700000000005,1.0,3.0,8.853871964321762
1,CHEMBL19226,O=S1(=O)c2ccccc2-c2ccccc2N1CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,active,489.6160000000003,5.437400000000006,1.0,3.0,7.455931955649724
2,CHEMBL162006,Fc1ccc(C(OCC2CCN(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,active,407.50400000000013,5.983000000000006,0.0,2.0,6.118615343229427
3,CHEMBL19203,O=S1(=O)c2cccc3cccc(c23)N1CCCCN1CC=C(c2c[nH]c3ccccc23)CC1,active,457.5990000000002,5.399300000000005,1.0,3.0,9.096910013008056
4,CHEMBL351215,c1ccc(CCN2CCC(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,active,399.57800000000015,6.137400000000007,0.0,2.0,6.991399828238082
5,CHEMBL166072,COc1ccc(C(OCCC2CCN(CCCc3ccccc3)CC2)c2ccc(OC)cc2)cc1,active,473.65700000000015,6.544700000000007,0.0,4.0,6.468521082957745
6,CHEMBL18224,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1,active,461.5620000000002,5.148300000000004,1.0,3.0,9.522878745280337
7,CHEMBL275354,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(Cc2c[nH]c3cccc(F)c23)CC1,active,463.57800000000026,4.923600000000005,1.0,3.0,8.221848749616356
8,CHEMBL338733,c1ccc(CN2CCC(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,active,385.55100000000016,6.094900000000006,0.0,2.0,6.129011186239425
9,CHEMBL276565,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(Br)cc23)CC1,active,522.4680000000001,5.7717000000000045,1.0,3.0,8.0
10,CHEMBL9329,c1ccc(CCCN2CCC(COC(c3ccccc3)c3ccccc3)CC2)cc1,active,399.57800000000015,6.137400000000007,0.0,2.0,7.236572006437063
11,CHEMBL19347,O=c1n(CCN2CCC(Cc3c[nH]c4ccc(F)cc34)CC2)c2cccc3c2n1CCC3,active,432.54300000000035,4.324300000000003,1.0,4.0,9.397940008672037
12,CHEMBL18212,COc1ccc2[nH]cc(C3=CCN(CCCN4c5cccc6cccc(c56)S4(=O)=O)CC3)c2c1,active,473.5980000000002,5.017800000000005,1.0,4.0,8.0
13,CHEMBL19228,CN(CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1)S(=O)(=O)c1ccc2ccccc2c1,active,479.62100000000027,5.0354000000000045,1.0,3.0,7.657577319177793
14,CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,active,450.5730000000001,5.3212000000000055,0.0,3.0,7.086186147616283
15,CHEMBL355258,CO[C@H]1CC2C[C@H](OC(c3ccccc3)c3ccccc3)CC1N2C,inactive,337.4630000000001,4.0427000000000035,0.0,3.0,4.0
16,CHEMBL19335,CS(=O)(=O)N(CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1)c1cccc2ccccc12,active,479.6210000000002,5.180900000000005,1.0,3.0,7.0
17,CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,active,309.33099999999996,4.435000000000003,1.0,2.0,7.823908740944319
18,CHEMBL350372,Brc1ccc(C(OCCC2CCN(CCCc3ccccc3)CC2)c2ccc(Br)cc2)cc1,active,571.3970000000002,8.052500000000007,0.0,2.0,6.078313524516398
19,CHEMBL414187,CN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,active,246.32899999999995,3.191300000000001,1.0,1.0,7.0
20,CHEMBL351595,c1ccc(CCCN2CCC(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,active,413.60500000000013,6.527500000000007,0.0,2.0,6.634512015109101
21,CHEMBL429768,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,active,478.0170000000002,5.662600000000005,1.0,3.0,8.853871964321762
22,CHEMBL276922,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCN(Cc2c[nH]c3ccc(F)cc23)CC1,active,464.56600000000026,3.7867000000000024,1.0,4.0,8.301029995663981
23,CHEMBL353797,Clc1ccc(C(OCCC2CCN(CCCc3ccccc3)CC2)c2ccc(Cl)cc2)cc1,active,482.4950000000001,7.834300000000008,0.0,2.0,6.649751981665837
24,CHEMBL19652,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(O)cc23)CC1,active,459.5710000000002,4.714800000000005,2.0,4.0,7.6020599913279625
25,CHEMBL274517,O=S1(=O)c2cccc3cccc(c23)N1CCN1CC=C(c2c[nH]c3ccccc23)CC1,active,429.5450000000002,4.619100000000004,1.0,3.0,9.221848749616356
26,CHEMBL18625,O=C1c2cccc3cccc(c23)N1CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,active,427.52300000000014,5.375100000000004,1.0,2.0,8.769551078621726
27,CHEMBL416544,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(CC2=CCc3ccccc32)CC1,active,444.6000000000003,5.090300000000005,0.0,3.0,8.301029995663981
28,CHEMBL415747,c1ccc(CN2CCC(COC(c3ccccc3)c3ccccc3)CC2)cc1,active,371.5240000000001,5.704800000000006,0.0,2.0,6.2644011003018205
29,CHEMBL19111,Cn1cc(C2=CCN(CCCN3c4cccc5cccc(c45)S3(=O)=O)CC2)c2ccccc21,active,457.5990000000003,5.019600000000005,0.0,4.0,9.221848749616356
30,CHEMBL19270,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(Cc2cc3cc(F)ccc3[nH]2)CC1,active,463.57800000000026,4.923600000000005,1.0,3.0,8.397940008672037
31,CHEMBL422018,Clc1ccc(C(OCCC2CCN(CCc3ccccc3)CC2)c2ccc(Cl)cc2)cc1,active,468.4680000000001,7.444200000000007,0.0,2.0,6.382999658879101
32,CHEMBL350100,Fc1ccc(C(OCC2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,active,435.5580000000001,6.415600000000007,0.0,2.0,6.950781977329818
33,CHEMBL274728,O=S1(=O)N(CCN2CCC(Cc3c[nH]c4ccc(F)cc34)CC2)c2cccc3c2N1CCC3,active,468.59800000000035,4.079100000000003,1.0,3.0,8.920818753952375
34,CHEMBL19613,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccccc23)CC1,active,443.5720000000002,5.009200000000004,1.0,3.0,9.698970004336019
35,CHEMBL19051,O=S1(=O)c2cccc3cccc(c23)N1CCN1CC=C(Cc2c[nH]c3ccc(F)cc23)CC1,active,461.56200000000024,4.843700000000004,1.0,3.0,8.958607314841775
36,CHEMBL349281,Fc1ccc(C(OCC2CCN(CCc3ccccc3)CC2)c2ccc(F)cc2)cc1,active,421.5310000000001,6.025500000000006,0.0,2.0,6.6252516539898965
37,CHEMBL279414,CC(=O)n1cc(C2=CCN(CCCN3c4cccc5cccc(c45)S3(=O)=O)CC2)c2ccccc21,active,485.6090000000002,5.142700000000005,0.0,5.0,8.0
38,CHEMBL352272,Fc1ccc(C(OCCC2CCN(CCc3ccccc3)CC2)c2ccc(F)cc2)cc1,active,435.5580000000001,6.415600000000007,0.0,2.0,7.496209316942819
39,CHEMBL166122,c1ccc(CCN2CCC(COC(c3ccccc3)c3ccccc3)CC2)cc1,active,385.55100000000016,5.747300000000006,0.0,2.0,6.341035157335565
40,CHEMBL355286,CO[C@H]1CC2C[C@H](OC(c3ccc(F)cc3)c3ccc(F)cc3)CC1N2C,inactive,373.4430000000001,4.3209000000000035,0.0,3.0,4.0
41,CHEMBL168371,CO[C@H]1CC2C[C@H](OC(c3ccccc3)c3ccc(Cl)cc3)CC1N2C,inactive,371.90800000000013,4.696100000000005,0.0,3.0,4.0
42,CHEMBL165657,Brc1ccc(C(OCCC2CCN(CCc3ccccc3)CC2)c2ccc(Br)cc2)cc1,active,557.3700000000002,7.662400000000007,0.0,2.0,6.195179321278838
43,CHEMBL424565,CO[C@@H]1CC2C[C@@H](OC(c3ccc(F)cc3)c3ccc(F)cc3)CC1N2C,inactive,373.4430000000001,4.3209000000000035,0.0,3.0,4.0
44,CHEMBL19267,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(Cc2c[nH]c3cc(F)ccc23)CC1,active,463.57800000000026,4.923600000000005,1.0,3.0,9.522878745280337
45,CHEMBL34032,Fc1ccc(C(OCCC2CCN(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,active,421.5310000000001,6.373100000000006,0.0,2.0,6.703334809738469
46,CHEMBL168814,CO[C@@H]1CC2C[C@@H](OC(c3ccccc3)c3ccc(Cl)cc3)CC1N2C,inactive,371.90800000000013,4.696100000000005,0.0,3.0,4.0
47,CHEMBL18512,O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,active,463.57800000000026,4.923600000000005,1.0,3.0,9.397940008672037
48,CHEMBL281808,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCC(c2c[nH]c3ccccc23)CC1,active,445.5880000000002,5.099500000000004,1.0,3.0,7.958607314841775
49,CHEMBL165740,Cc1ccc(C(OCCC2CCN(CCc3ccccc3)CC2)c2ccc(C)cc2)cc1,active,427.6320000000002,6.754240000000008,0.0,2.0,6.051587034221399
50,CHEMBL276920,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,active,477.60500000000025,5.313700000000005,1.0,3.0,8.698970004336019
